date_time,period,destination_place,frequency,province,revenue,age_bin,sex,no_of_trips,trip_kms
2023-09-07,17,not_frequent,not_frequent,Cuenca,10-15,0-25,,9.785,12.952
2023-09-03,10,frequent,house,Sevilla,10-15,45-65,woman,4.296,7.248
2023-09-06,18,not_frequent,not_frequent,Ourense,10-15,65-100,,8.262,101.497
2023-09-04,23,not_frequent,house,Illes Balears,10-15,45-65,woman,3.013,54.271
2023-09-01,9,house,frequent,Madrid,10-15,45-65,man,2.988,11.469
2023-09-05,15,work/study,house,Gipuzkoa,>15,25-45,man,3.9,16.057
2023-09-07,19,house,frequent,Madrid,10-15,45-65,man,3.263,30.506
2023-09-02,19,frequent,house,Sevilla,10-15,0-25,man,10.654,5.993
2023-09-06,13,not_frequent,frequent,Huelva,10-15,25-45,,4.226,35.964
2023-09-04,0,frequent,house,Cantabria,10-15,0-25,man,21.03,33.052
2023-09-05,10,house,not_frequent,Barcelona,>15,65-100,man,2.825,297.96
2023-09-03,8,not_frequent,frequent,Zaragoza,10-15,45-65,woman,4.445,3.622
2023-09-04,6,house,not_frequent,Sevilla,<10,,,3.933,74.239
2023-09-02,11,frequent,frequent,Valencia/València,10-15,25-45,man,4.568,10.829
2023-09-03,15,frequent,work/study,Valencia/València,>15,45-65,woman,3.62,3.058
2023-09-06,19,house,not_frequent,Toledo,<10,,,8.283,29.268
2023-09-01,10,frequent,frequent,Sevilla,<10,0-25,man,11.984,35.899
2023-09-01,16,house,frequent,Valencia/València,10-15,45-65,man,6.592,29.322
2023-09-05,1,not_frequent,not_frequent,Valencia/València,10-15,25-45,woman,2.228,2.529
2023-09-02,12,not_frequent,frequent,Zaragoza,>15,45-65,woman,4.821,22.233
2023-09-01,18,frequent,house,Bizkaia,>15,,,3.562,23.613
2023-09-03,13,house,frequent,Valencia/València,10-15,,,1.6,24.246
2023-09-03,1,not_frequent,house,Almería,10-15,,,5.421,7.136
2023-09-04,21,frequent,house,Barcelona,10-15,65-100,,5.938,52.232
2023-09-06,13,not_frequent,house,Alicante/Alacant,<10,,,2.904,15.941
2023-09-07,10,frequent,house,Murcia,<10,25-45,man,4.247,41.445
2023-09-03,18,frequent,frequent,Girona,10-15,,,10.051,80.022
2023-09-03,20,not_frequent,frequent,Santa Cruz de Tenerife,10-15,25-45,woman,5.88,33.695
2023-09-02,6,house,frequent,Barcelona,>15,45-65,man,2.469,6.875
2023-09-01,12,work/study,house,Cádiz,<10,45-65,man,2.946,13.246
2023-09-05,15,work/study,not_frequent,Badajoz,<10,,,7.106,290.068
2023-09-05,10,frequent,frequent,Zaragoza,10-15,25-45,man,4.411,47.116
2023-09-03,11,not_frequent,not_frequent,Madrid,10-15,25-45,,5.172,1430.686
2023-09-01,16,house,not_frequent,Toledo,<10,,,2.939,74.095
2023-09-05,21,frequent,not_frequent,Alicante/Alacant,10-15,,,4.318,32.779
2023-09-07,7,house,frequent,Barcelona,10-15,0-25,man,11.984,15.845
2023-09-03,22,frequent,house,Tarragona,10-15,45-65,man,15.617,40.153
2023-09-01,19,work/study,frequent,Tarragona,10-15,,,5.205,39.138
2023-09-05,6,not_frequent,not_frequent,Madrid,10-15,65-100,woman,4.983,79.939
2023-09-05,15,frequent,house,Badajoz,<10,,,3.542,169.836
2023-09-02,13,house,not_frequent,Barcelona,>15,,,27.449,213.555
2023-09-07,16,not_frequent,house,Huelva,<10,,,9.15,7.396
2023-09-02,16,frequent,frequent,Murcia,<10,,,2.916,3.673
2023-09-05,13,work/study,house,Salamanca,10-15,45-65,man,2.352,139.518
2023-09-06,18,work/study,house,Pontevedra,10-15,45-65,woman,4.619,25.004
2023-09-06,7,frequent,house,Alicante/Alacant,<10,25-45,,17.712,19.167
2023-09-01,17,frequent,house,Valencia/València,>15,65-100,woman,4.387,4.004
2023-09-07,7,frequent,frequent,Huelva,10-15,,,1.748,4.423
2023-09-03,19,not_frequent,frequent,Madrid,10-15,0-25,woman,12.674,174.376
2023-09-07,17,house,work/study,Tarragona,10-15,,,2.071,6.994
2023-09-06,6,house,work/study,Salamanca,10-15,25-45,man,3.144,2.979
2023-09-07,5,house,frequent,Castellón/Castelló,10-15,45-65,,3.607,20.149
2023-09-05,11,frequent,house,Huelva,<10,25-45,woman,8.172,13.691
2023-09-03,12,frequent,frequent,Bizkaia,>15,,,1.694,19.791
2023-09-06,16,frequent,house,Navarra,10-15,45-65,,4.718,36.978
2023-09-04,23,work/study,house,Barcelona,10-15,25-45,,6.65,10.985
2023-09-06,6,frequent,house,Madrid,>15,25-45,man,8.486,143.748
2023-09-02,18,house,work/study,Cantabria,10-15,25-45,,3.904,19.266
2023-09-04,9,frequent,frequent,Barcelona,>15,45-65,man,2.436,57.64
2023-09-04,9,house,work/study,Granada,10-15,25-45,man,9.85,36.85
2023-09-06,12,frequent,house,Córdoba,<10,,,30.631,126.833
2023-09-04,19,work/study,house,Las Palmas,10-15,25-45,man,4.821,56.119
2023-09-06,5,not_frequent,frequent,Málaga,10-15,25-45,,3.107,1.913
2023-09-01,22,not_frequent,not_frequent,Barcelona,10-15,45-65,man,2.444,2.556
2023-09-07,21,frequent,frequent,Guadalajara,10-15,25-45,woman,4.731,16.765
2023-09-03,1,frequent,frequent,Guadalajara,10-15,,,8.638,24.221
2023-09-06,14,frequent,house,Barcelona,>15,0-25,woman,15.286,81.216
2023-09-05,11,house,not_frequent,Murcia,10-15,45-65,woman,5.085,14.178
2023-09-02,5,house,not_frequent,Córdoba,<10,,,4.875,33.348
2023-09-07,19,not_frequent,house,Madrid,>15,25-45,woman,7.648,72.554
2023-09-02,20,frequent,frequent,Barcelona,>15,45-65,,4.899,14.519
2023-09-05,3,house,not_frequent,Barcelona,10-15,,,2.035,3.021
2023-09-02,10,not_frequent,not_frequent,Badajoz,<10,,,4.543,67.95
2023-09-06,13,work/study,house,Barcelona,10-15,,,1.723,15.384
2023-09-05,20,work/study,house,Valencia/València,10-15,25-45,woman,4.5,14.464
2023-09-07,0,frequent,house,Madrid,>15,45-65,man,3.26,43.275
2023-09-07,14,house,work/study,Huesca,<10,,,13.003,12.716
2023-09-05,19,frequent,house,Valencia/València,10-15,25-45,woman,21.06,29.067
2023-09-02,10,house,frequent,Navarra,10-15,,,8.941,19.704
2023-09-03,9,house,work/study,Guadalajara,10-15,45-65,,9.334,53.036
2023-09-02,12,frequent,not_frequent,Barcelona,>15,65-100,man,2.433,3.9
2023-09-06,9,house,frequent,Toledo,10-15,0-25,woman,10.596,46.406
2023-09-06,11,house,work/study,Soria,10-15,65-100,,4.003,4.13
2023-09-03,18,frequent,frequent,Toledo,<10,45-65,,2.913,98.86
2023-09-02,22,frequent,not_frequent,Murcia,>15,45-65,man,4.002,45.36
2023-09-01,2,work/study,house,Toledo,10-15,25-45,,2.315,5.418
2023-09-05,3,house,not_frequent,Toledo,10-15,,,14.304,131.309
2023-09-07,11,work/study,frequent,Las Palmas,10-15,0-25,woman,11.202,40.371
2023-09-06,20,house,work/study,Valencia/València,10-15,0-25,,10.976,47.997
2023-09-01,20,frequent,frequent,Almería,<10,65-100,man,6.65,9.023
2023-09-07,10,frequent,frequent,Valencia/València,10-15,45-65,woman,3.981,41.229
2023-09-01,14,frequent,work/study,Salamanca,10-15,45-65,,3.352,21.261
2023-09-02,17,not_frequent,frequent,Madrid,>15,65-100,woman,7.226,45.937
2023-09-02,9,frequent,work/study,A Coruña,10-15,25-45,,4.149,22.056
2023-09-04,18,not_frequent,house,Cádiz,<10,,,4.904,151.795
2023-09-01,9,not_frequent,frequent,Lugo,10-15,,,3.307,120.029
2023-09-01,20,house,frequent,Granada,<10,0-25,man,8.262,123.675
2023-09-06,15,not_frequent,house,Girona,10-15,,,6.19,482.581
2023-09-01,10,frequent,work/study,Murcia,<10,65-100,,2.61,3.833
2023-09-01,11,not_frequent,frequent,Pontevedra,10-15,,,5.0,53.02
2023-09-01,15,frequent,not_frequent,Santa Cruz de Tenerife,<10,65-100,man,3.596,4.014
2023-09-03,16,not_frequent,not_frequent,Madrid,10-15,45-65,man,2.989,181.013
2023-09-01,21,work/study,house,Madrid,>15,45-65,man,3.557,38.645
2023-09-03,11,work/study,house,Almería,<10,0-25,man,8.647,79.908
2023-09-01,8,frequent,work/study,Madrid,10-15,65-100,woman,6.008,234.413
2023-09-02,20,frequent,house,Tarragona,10-15,25-45,,3.452,28.986
2023-09-04,20,house,work/study,Castellón/Castelló,10-15,25-45,man,27.616,37.779
2023-09-07,3,frequent,house,Ciudad Real,<10,,,1.643,34.416
2023-09-07,17,work/study,frequent,Madrid,>15,45-65,man,6.027,24.13
2023-09-06,9,house,not_frequent,Barcelona,10-15,25-45,man,3.311,4.67
2023-09-05,10,frequent,frequent,Asturias,10-15,,,3.2,26.102
2023-09-02,20,work/study,house,Santa Cruz de Tenerife,10-15,0-25,woman,12.139,20.72
2023-09-03,13,house,not_frequent,Gipuzkoa,10-15,25-45,,4.347,5.123
2023-09-06,10,frequent,house,Ávila,10-15,,,22.866,138.236
2023-09-05,21,frequent,frequent,Huelva,<10,,,2.704,18.701
2023-09-04,11,frequent,not_frequent,Barcelona,10-15,,,4.339,20.836
2023-09-07,6,frequent,frequent,Murcia,10-15,45-65,man,7.283,8.143
2023-09-04,17,frequent,frequent,Alicante/Alacant,10-15,25-45,man,3.202,2.535
2023-09-03,23,not_frequent,house,Las Palmas,10-15,25-45,man,5.538,21.403
2023-09-05,1,frequent,house,Pontevedra,10-15,,,3.054,41.388
2023-09-07,13,house,frequent,Barcelona,10-15,,,1.945,38.575
2023-09-01,17,not_frequent,house,Valencia/València,10-15,0-25,woman,8.696,283.011
2023-09-04,13,house,work/study,Asturias,10-15,0-25,woman,8.073,6.559
2023-09-04,6,frequent,frequent,Murcia,<10,65-100,man,1.72,4.463
2023-09-05,18,house,not_frequent,Segovia,10-15,,,9.123,194.079
2023-09-01,16,house,frequent,Córdoba,<10,0-25,man,12.568,117.552
2023-09-02,18,not_frequent,frequent,Santa Cruz de Tenerife,<10,,,2.845,140.899
2023-09-07,6,house,frequent,Tarragona,10-15,45-65,,2.912,330.251
2023-09-06,10,frequent,house,Teruel,10-15,,,8.497,129.613
2023-09-01,14,work/study,house,Jaén,<10,,,3.611,28.61
2023-09-05,8,house,work/study,Barcelona,10-15,25-45,woman,2.683,43.296
2023-09-06,14,frequent,frequent,Córdoba,10-15,45-65,man,2.319,2.972
2023-09-01,0,house,frequent,Cádiz,10-15,45-65,woman,4.307,9.239
2023-09-06,7,house,work/study,Albacete,10-15,25-45,man,20.195,22.0
2023-09-03,15,not_frequent,not_frequent,Gipuzkoa,10-15,,,9.286,238.931
2023-09-02,12,not_frequent,not_frequent,Madrid,10-15,65-100,woman,5.673,40.918
2023-09-06,9,frequent,frequent,Madrid,>15,25-45,man,2.914,6.696
2023-09-04,14,not_frequent,house,Toledo,10-15,,,6.87,374.977
2023-09-07,18,work/study,house,Cantabria,10-15,65-100,woman,11.568,14.195
2023-09-03,13,house,not_frequent,Murcia,10-15,45-65,woman,4.158,136.588
2023-09-07,15,frequent,frequent,Castellón/Castelló,10-15,65-100,man,21.96,28.775
2023-09-07,21,house,frequent,Madrid,10-15,25-45,woman,13.53,46.823
2023-09-01,4,house,frequent,Málaga,10-15,0-25,man,6.24,31.727
2023-09-06,16,not_frequent,frequent,Murcia,<10,45-65,,3.263,47.522
2023-09-04,16,frequent,house,Santa Cruz de Tenerife,10-15,,,2.848,70.294
2023-09-05,22,frequent,frequent,Asturias,10-15,25-45,man,7.092,8.109
2023-09-04,5,house,frequent,Bizkaia,>15,45-65,,3.21,6.517
2023-09-07,9,not_frequent,not_frequent,Málaga,<10,,,1.647,49.814
2023-09-03,3,work/study,house,León,10-15,45-65,,4.856,8.176
2023-09-06,11,frequent,frequent,Madrid,10-15,25-45,man,12.54,37.287
2023-09-06,15,not_frequent,house,Barcelona,10-15,,,2.438,15.261
2023-09-07,9,not_frequent,frequent,Granada,10-15,45-65,man,2.59,9.604
2023-09-01,10,work/study,not_frequent,Santa Cruz de Tenerife,10-15,45-65,,3.994,50.112
2023-09-03,8,frequent,house,Lleida,>15,45-65,,3.598,75.109
2023-09-06,9,frequent,work/study,Salamanca,10-15,25-45,woman,3.162,59.95
2023-09-02,22,house,work/study,Navarra,>15,45-65,man,5.215,3.911
2023-09-02,12,house,not_frequent,Alicante/Alacant,10-15,65-100,,4.892,172.835
2023-09-04,21,work/study,house,Barcelona,10-15,25-45,woman,2.957,11.274
2023-09-02,1,house,frequent,Girona,10-15,,,3.6,30.355
2023-09-06,22,work/study,house,Pontevedra,10-15,,,3.988,24.872
2023-09-06,14,work/study,house,Huelva,10-15,0-25,,5.952,34.961
2023-09-01,15,work/study,not_frequent,Madrid,<10,45-65,man,4.285,449.995
2023-09-05,13,house,frequent,Soria,>15,25-45,man,10.839,37.675
2023-09-07,8,not_frequent,house,Sevilla,<10,,,3.443,7.943
2023-09-07,8,work/study,frequent,Las Palmas,<10,45-65,man,3.502,16.485
2023-09-02,21,house,frequent,Badajoz,<10,,,4.212,41.597
2023-09-07,8,frequent,work/study,Alicante/Alacant,<10,,,3.361,16.174
2023-09-01,11,frequent,frequent,Barcelona,10-15,,,1.822,17.221
2023-09-06,12,not_frequent,house,Alicante/Alacant,10-15,45-65,woman,2.957,102.079
2023-09-07,9,frequent,frequent,Murcia,10-15,25-45,man,2.566,26.46
2023-09-05,18,not_frequent,house,Pontevedra,10-15,65-100,woman,4.741,211.867
2023-09-02,1,frequent,frequent,Barcelona,10-15,65-100,,2.501,7.564
2023-09-05,14,not_frequent,not_frequent,Valencia/València,10-15,45-65,man,2.488,293.576
2023-09-06,12,frequent,house,Albacete,10-15,45-65,man,4.702,12.664
2023-09-05,14,house,work/study,Barcelona,10-15,45-65,woman,2.988,21.592
2023-09-05,10,not_frequent,frequent,Girona,10-15,,,3.801,19.727
2023-09-05,8,house,frequent,Madrid,10-15,65-100,,3.126,103.263
2023-09-02,18,frequent,house,Barcelona,>15,25-45,,3.564,38.152
2023-09-05,22,frequent,house,Barcelona,10-15,,,7.394,32.675
2023-09-01,12,not_frequent,not_frequent,Málaga,<10,45-65,man,3.147,8.479
2023-09-02,7,house,work/study,Sevilla,<10,,,2.497,21.446
2023-09-02,2,frequent,frequent,Barcelona,10-15,45-65,,2.363,1.56
2023-09-01,19,house,frequent,Lugo,10-15,45-65,man,24.69,77.556
2023-09-06,18,not_frequent,not_frequent,Madrid,10-15,25-45,man,3.376,183.838
2023-09-03,5,house,frequent,Illes Balears,10-15,45-65,man,4.707,30.586
2023-09-03,13,not_frequent,house,Sevilla,10-15,,,2.409,7.746
2023-09-06,13,frequent,work/study,Barcelona,>15,25-45,woman,6.7,16.195
2023-09-05,21,house,frequent,Valencia/València,10-15,0-25,man,5.756,16.451
2023-09-03,23,frequent,not_frequent,Madrid,10-15,65-100,woman,6.047,6.392
2023-09-06,16,work/study,frequent,Madrid,10-15,0-25,man,11.862,125.393
2023-09-01,16,house,work/study,Burgos,>15,25-45,woman,4.815,7.991
2023-09-02,7,house,work/study,Barcelona,10-15,25-45,,4.627,52.262
2023-09-07,13,frequent,frequent,Santa Cruz de Tenerife,<10,25-45,woman,5.005,32.674
2023-09-07,6,house,work/study,Madrid,10-15,0-25,man,41.96,172.526
2023-09-05,12,frequent,house,Madrid,10-15,,,1.948,17.347
2023-09-01,17,not_frequent,not_frequent,Barcelona,10-15,25-45,man,4.12,386.848
2023-09-01,2,house,work/study,Málaga,10-15,45-65,man,3.018,7.761
2023-09-03,18,frequent,work/study,Valencia/València,>15,45-65,man,3.306,5.306
2023-09-06,12,work/study,house,Illes Balears,10-15,,,3.103,18.65
2023-09-04,2,house,frequent,Málaga,<10,45-65,woman,16.492,21.171
2023-09-01,20,frequent,house,La Rioja,>15,45-65,man,7.426,25.9
2023-09-02,1,not_frequent,not_frequent,Barcelona,10-15,25-45,man,4.109,21.665
2023-09-06,17,not_frequent,house,Valencia/València,10-15,0-25,man,6.208,105.785
2023-09-04,23,work/study,house,Navarra,10-15,25-45,,6.228,9.788
2023-09-07,18,frequent,not_frequent,Barcelona,10-15,45-65,,3.685,27.984
2023-09-03,2,house,frequent,Alicante/Alacant,<10,,,4.114,39.834
2023-09-06,13,not_frequent,frequent,Madrid,10-15,25-45,woman,4.609,20.199
2023-09-06,18,house,frequent,Palencia,10-15,45-65,,3.349,23.011
2023-09-02,12,house,work/study,Zamora,10-15,25-45,,3.983,15.679
2023-09-06,9,house,not_frequent,Cádiz,<10,65-100,man,3.253,300.884
2023-09-07,9,house,frequent,Palencia,10-15,65-100,woman,3.477,6.586
2023-09-04,11,frequent,frequent,Pontevedra,10-15,,,3.667,7.706
2023-09-02,10,house,not_frequent,Barcelona,10-15,,,3.897,31.535
2023-09-03,18,house,work/study,Cádiz,10-15,,,2.75,3.239
2023-09-03,20,house,frequent,Alicante/Alacant,<10,0-25,man,18.112,15.684
2023-09-03,15,work/study,house,Toledo,10-15,25-45,man,9.392,45.013
2023-09-07,14,frequent,frequent,Pontevedra,10-15,25-45,,4.287,25.898
2023-09-02,19,frequent,work/study,León,10-15,45-65,,3.526,11.455
2023-09-04,20,frequent,frequent,Valencia/València,10-15,45-65,woman,3.83,49.953
2023-09-04,21,house,work/study,Sevilla,10-15,45-65,man,10.422,36.906
2023-09-07,11,frequent,work/study,Barcelona,>15,25-45,,2.971,50.082
2023-09-05,14,frequent,not_frequent,A Coruña,10-15,45-65,,3.875,25.799
2023-09-05,17,frequent,work/study,Girona,10-15,45-65,,3.14,3.784
2023-09-05,15,house,work/study,Valencia/València,10-15,45-65,man,2.954,28.482
2023-09-05,10,frequent,frequent,Palencia,10-15,65-100,man,2.91,8.112
2023-09-04,13,not_frequent,not_frequent,Tarragona,10-15,25-45,man,2.355,28.453
2023-09-06,14,frequent,house,Ciudad Real,<10,,,5.379,222.402
2023-09-07,23,house,frequent,Barcelona,10-15,25-45,woman,3.402,2.13
2023-09-07,17,not_frequent,house,Madrid,10-15,0-25,man,12.658,55.229
2023-09-07,17,frequent,house,Las Palmas,10-15,65-100,,5.691,119.737
2023-09-05,8,house,work/study,Málaga,>15,45-65,woman,3.276,39.516
2023-09-05,7,house,work/study,Barcelona,>15,25-45,,1.658,11.042
2023-09-07,14,house,not_frequent,Madrid,>15,0-25,woman,6.834,32.031
2023-09-03,10,not_frequent,house,Valencia/València,10-15,45-65,,3.477,36.563
2023-09-07,7,house,frequent,Bizkaia,>15,25-45,woman,4.463,17.339
2023-09-01,20,not_frequent,not_frequent,Barcelona,10-15,,,7.873,216.421
2023-09-01,20,work/study,house,A Coruña,>15,25-45,,13.219,15.468
2023-09-02,12,frequent,not_frequent,Illes Balears,10-15,45-65,man,3.796,67.013
2023-09-04,9,frequent,house,Santa Cruz de Tenerife,<10,,,27.527,172.644
2023-09-01,6,work/study,frequent,Málaga,<10,25-45,woman,5.522,62.651
2023-09-01,18,house,work/study,A Coruña,10-15,45-65,,7.006,47.851
2023-09-02,13,not_frequent,house,Valencia/València,10-15,45-65,,3.69,104.561
2023-09-04,6,house,work/study,León,10-15,,,3.881,42.507
2023-09-04,22,frequent,frequent,Sevilla,10-15,45-65,,2.45,4.578
2023-09-07,12,not_frequent,not_frequent,Illes Balears,10-15,65-100,man,2.887,5.956
2023-09-05,16,frequent,work/study,Alicante/Alacant,<10,,,3.671,53.379
2023-09-06,8,house,not_frequent,Albacete,10-15,45-65,man,2.351,116.139
2023-09-05,17,frequent,frequent,Bizkaia,>15,45-65,,3.242,9.699
2023-09-07,16,house,not_frequent,Asturias,>15,45-65,woman,7.874,18.288
2023-09-02,6,frequent,frequent,Madrid,10-15,65-100,man,6.153,17.338
2023-09-05,10,frequent,work/study,Badajoz,10-15,45-65,woman,3.122,2.297
2023-09-06,18,work/study,frequent,Gipuzkoa,>15,45-65,man,3.582,70.273
2023-09-05,17,frequent,not_frequent,Ávila,<10,,,4.213,5.264
2023-09-05,17,not_frequent,frequent,Barcelona,10-15,45-65,man,2.446,36.167
2023-09-07,15,not_frequent,work/study,Girona,10-15,,,3.652,17.776
2023-09-03,22,not_frequent,house,Barcelona,10-15,,,2.142,29.853
2023-09-04,13,frequent,house,Barcelona,10-15,0-25,woman,6.935,86.634
2023-09-04,11,house,frequent,Albacete,10-15,25-45,woman,4.235,6.731
2023-09-01,20,work/study,house,Castellón/Castelló,10-15,25-45,,4.107,61.1
2023-09-05,8,house,frequent,Jaén,10-15,,,3.057,26.758
2023-09-04,13,not_frequent,not_frequent,Palencia,10-15,,,5.349,21.871
2023-09-02,21,frequent,house,Valladolid,>15,65-100,woman,26.376,39.002
2023-09-05,18,frequent,not_frequent,Huelva,10-15,45-65,,2.412,61.399
2023-09-04,14,not_frequent,house,Valladolid,10-15,,,4.052,160.605
2023-09-01,10,house,frequent,Asturias,10-15,0-25,,7.315,6.006
2023-09-02,3,house,frequent,Valladolid,10-15,,,22.899,24.767
2023-09-05,14,house,frequent,Madrid,10-15,25-45,woman,4.046,78.667
2023-09-07,11,house,frequent,Cáceres,10-15,,,9.358,78.502
2023-09-04,17,house,not_frequent,Navarra,10-15,65-100,woman,5.092,23.516
2023-09-03,20,not_frequent,not_frequent,Ávila,10-15,,,4.524,32.602
2023-09-02,8,house,not_frequent,Madrid,10-15,,,6.133,309.979
2023-09-01,17,frequent,not_frequent,Bizkaia,10-15,65-100,woman,5.767,9.077
2023-09-06,14,not_frequent,house,Valencia/València,10-15,,,3.145,43.459
2023-09-02,8,house,not_frequent,Murcia,<10,25-45,woman,23.89,142.652
2023-09-01,18,house,work/study,Granada,<10,,,16.252,15.472
2023-09-07,5,frequent,frequent,Asturias,10-15,45-65,woman,4.77,3.211
2023-09-07,11,frequent,not_frequent,Málaga,10-15,65-100,woman,3.664,3.635
2023-09-02,19,frequent,frequent,Alicante/Alacant,<10,,,6.775,20.768
2023-09-06,16,work/study,house,Barcelona,10-15,,,2.241,13.052
2023-09-06,9,not_frequent,frequent,Madrid,>15,25-45,man,3.941,13.535
2023-09-06,14,work/study,frequent,Gipuzkoa,>15,,,6.734,11.524
2023-09-02,19,frequent,house,Málaga,10-15,65-100,woman,21.228,106.607
2023-09-06,18,frequent,house,Madrid,10-15,25-45,man,28.203,145.82
2023-09-01,18,work/study,house,Madrid,10-15,45-65,woman,3.779,105.375
2023-09-07,15,frequent,house,Valencia/València,<10,25-45,,2.93,103.2
2023-09-06,9,not_frequent,work/study,Murcia,>15,65-100,woman,5.87,7.029
2023-09-04,17,work/study,house,Bizkaia,>15,45-65,woman,5.572,49.698
2023-09-02,19,frequent,work/study,Madrid,>15,45-65,woman,5.186,11.823
2023-09-05,1,frequent,house,Valencia/València,10-15,45-65,man,11.136,7.809
2023-09-07,19,work/study,frequent,Barcelona,10-15,0-25,woman,7.445,182.542
2023-09-04,20,frequent,house,Madrid,>15,45-65,woman,4.486,33.771
2023-09-07,6,frequent,work/study,Madrid,10-15,65-100,woman,6.483,3.596
2023-09-07,9,frequent,not_frequent,Barcelona,10-15,0-25,,4.769,3.214
2023-09-01,23,work/study,house,Zaragoza,10-15,25-45,man,12.768,12.014
2023-09-02,2,house,frequent,Barcelona,10-15,45-65,man,9.888,8.039
2023-09-01,8,house,not_frequent,Barcelona,10-15,65-100,,3.735,28.145
2023-09-05,8,not_frequent,house,Málaga,10-15,65-100,man,2.265,11.197
2023-09-06,19,frequent,house,Lleida,10-15,,,18.965,285.34
2023-09-01,22,frequent,house,Asturias,>15,45-65,man,12.099,12.181
2023-09-04,22,frequent,house,Valencia/València,10-15,25-45,woman,3.882,28.872
2023-09-04,16,house,work/study,Huelva,<10,45-65,,2.605,7.104
2023-09-07,2,frequent,frequent,Valencia/València,>15,45-65,woman,3.12,20.286
2023-09-01,21,frequent,not_frequent,Granada,<10,,,2.187,12.927
2023-09-05,15,not_frequent,frequent,Madrid,>15,65-100,woman,7.623,27.689
2023-09-07,21,frequent,house,Barcelona,>15,45-65,,3.902,34.45
2023-09-03,13,frequent,frequent,Granada,10-15,25-45,woman,5.174,2.722
2023-09-07,15,house,frequent,Illes Balears,10-15,25-45,woman,3.833,50.449
2023-09-01,8,frequent,not_frequent,Madrid,10-15,45-65,woman,4.187,74.769
2023-09-01,21,frequent,house,Asturias,10-15,65-100,,3.862,8.522
2023-09-05,16,house,work/study,Badajoz,10-15,45-65,woman,5.475,6.545
2023-09-04,12,frequent,frequent,Lleida,10-15,65-100,,3.427,5.365
2023-09-06,16,not_frequent,not_frequent,Málaga,10-15,25-45,woman,3.822,866.66
2023-09-07,22,house,work/study,A Coruña,>15,25-45,woman,4.721,3.625
2023-09-04,9,house,frequent,Barcelona,10-15,45-65,,3.155,48.996
2023-09-01,12,house,frequent,Barcelona,10-15,0-25,woman,6.972,3.904
2023-09-06,17,frequent,frequent,Almería,<10,25-45,man,4.42,44.152
2023-09-06,12,house,frequent,Granada,10-15,0-25,woman,10.06,51.528
2023-09-04,7,house,not_frequent,Valencia/València,10-15,25-45,,2.518,5.835
2023-09-03,22,work/study,house,Toledo,<10,,,9.602,51.217
2023-09-06,13,house,frequent,Las Palmas,10-15,0-25,man,10.661,15.26
2023-09-07,12,frequent,house,Barcelona,10-15,0-25,man,13.414,12.648
2023-09-06,11,frequent,frequent,Barcelona,<10,45-65,man,2.432,7.424
2023-09-06,8,frequent,frequent,Valencia/València,10-15,45-65,,5.31,25.48
2023-09-04,20,not_frequent,work/study,Barcelona,10-15,0-25,man,6.04,61.41
2023-09-02,9,house,frequent,Cantabria,10-15,,,5.684,119.37
2023-09-04,9,not_frequent,not_frequent,Bizkaia,10-15,,,7.043,640.532
2023-09-02,8,frequent,frequent,Tarragona,10-15,45-65,man,2.585,14.936
2023-09-03,17,house,not_frequent,Madrid,10-15,45-65,man,4.176,12.873
2023-09-02,4,not_frequent,house,Araba/Álava,10-15,,,8.688,73.767
2023-09-05,9,house,frequent,Badajoz,<10,0-25,,7.887,110.52
2023-09-05,18,house,not_frequent,Bizkaia,10-15,,,3.293,12.89
2023-09-07,19,house,frequent,A Coruña,>15,25-45,woman,15.304,22.544
2023-09-04,11,house,work/study,Huesca,10-15,,,4.4,27.032
2023-09-04,16,frequent,frequent,La Rioja,10-15,0-25,man,13.3,137.194
2023-09-06,10,not_frequent,not_frequent,Cuenca,10-15,45-65,man,3.757,25.437
2023-09-03,16,house,frequent,Alicante/Alacant,10-15,25-45,man,21.564,17.088
2023-09-01,22,not_frequent,not_frequent,Ciudad Real,<10,25-45,,10.464,14.703
2023-09-06,19,frequent,not_frequent,Salamanca,10-15,0-25,,4.699,41.982
2023-09-07,11,not_frequent,frequent,Bizkaia,10-15,0-25,woman,4.448,11.108
2023-09-03,0,not_frequent,frequent,Araba/Álava,10-15,25-45,woman,4.803,11.234
2023-09-05,11,house,not_frequent,Valencia/València,10-15,,,2.695,10.142
2023-09-03,3,house,work/study,Barcelona,10-15,45-65,man,2.525,5.143
2023-09-06,16,work/study,house,Madrid,10-15,45-65,woman,16.856,224.79
2023-09-05,14,house,frequent,Tarragona,10-15,,,23.002,115.728
2023-09-05,23,house,frequent,Santa Cruz de Tenerife,10-15,45-65,,3.162,70.261
2023-09-05,17,frequent,house,León,10-15,,,18.128,116.066
2023-09-02,19,not_frequent,house,A Coruña,10-15,25-45,,4.704,42.535
2023-09-07,11,frequent,frequent,Sevilla,<10,45-65,,1.671,2.662
2023-09-01,15,house,not_frequent,Barcelona,10-15,0-25,woman,8.75,73.813
2023-09-07,16,work/study,house,Barcelona,10-15,25-45,,1.917,13.517
2023-09-07,21,house,frequent,La Rioja,<10,,,3.331,11.995
2023-09-04,6,frequent,not_frequent,Madrid,10-15,45-65,,2.572,52.464
2023-09-02,22,frequent,house,Pontevedra,10-15,25-45,man,2.352,35.906
2023-09-02,12,frequent,not_frequent,Cantabria,10-15,,,3.453,24.638
